1-wise [%]; 2-wise [%]; Sample Size; Total Time [ms]; Time per Sample [ms]; Memory Usage [KB]
55; 38; 5; 33321; 6933; 16872
57; 40; 10; 70032; 7003; 16860
58; 42; 20; 134847; 6742; 16844
59; 44; 30; 205846; 6862; 16892
60; 44; 40; 277926; 6948; 16968
60; 45; 50; 340219; 6804; 16900
61; 46; 100; 698251; 6982; 16884
62; 47; 200; 1406546; 7033; 16880
62; 47; 300; 2101009; 7003; 16944
62; 47; 400; 2847324; 7122; 16984
62; 47; 500; 3552606; 7105; 17016
62; 47; 1000; 6993754; 6994; 16884
62; 48; 1518; 10600766; 6983; 17084

